title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Shooter,series,11,"['Action & Adventure', 'War & Politics', 'Drama']",71.736,"['Ryan Phillippe', 'Shantel VanSanten', 'Cynthia Addai-Robinson', 'Omar Epps', 'Lexy Kolker', 'Jesse Bradford']",,"['11/23/21', '11/23/21', '11/23/21', '11/22/21', '11/22/21', '11/22/21', '11/22/21', '11/22/21', '11/22/21', '11/21/21', '11/21/21']",66857.0,2016-11-15
John Wick,series,1,"['Action & Adventure', 'Crime']",18.924,"['Mel Gibson', 'Colin Woodell', 'Mishel Prada', 'Ben Robson', 'Hubert Point-Du Jour', 'Kate Nhung', 'Jessica Allain', 'Ayomide Adegun', 'Jeremy Bobb', 'Peter Greene']",,['5/27/19'],72710.0,
Baby Driver,film,1,"['Action', 'Crime']",31.645,"['Ansel Elgort', 'Kevin Spacey', 'Lily James', 'Jon Hamm', 'Jamie Foxx', 'Eiza González', 'Jon Bernthal', 'Flea', 'CJ Jones', 'Sky Ferreira']",,['4/30/23'],339403.0,2017-06-28
Polar,film,1,"['Action', 'Adventure', 'Thriller']",91.003,"['Macarena Gómez', 'Pedro Casablanc', 'Petra Martínez', 'Salva Reina', 'Álvaro Cervantes', 'Jordi Vilches', 'Lucía Díez', 'Marco Cáceres', 'Stany Coppet']",,['3/7/23'],855440.0,2022-10-26
Schumacher,film,1,['Documentary'],12.03,"['Michael Schumacher', 'Mick Schumacher', 'Corinna Schumacher', 'Ralf Schumacher', 'Rolf Schumacher', 'Gina Schumacher', 'Jean Todt', 'Bernie Ecclestone', 'Sebastian Vettel', 'Mika Häkkinen']",,['3/1/23'],855823.0,2021-09-15
Out of Africa,film,1,"['History', 'Romance', 'Drama']",15.666,"['Robert Redford', 'Meryl Streep', 'Klaus Maria Brandauer', 'Michael Kitchen', 'Malick Bowens', 'Michael Gough', 'Suzanna Hamilton', 'Rachel Kempson', 'Graham Crowden', 'Leslie Phillips']",,['2/26/23'],606.0,1985-12-20
Squared Love All Over Again,film,1,"['Romance', 'Comedy']",9.224,"['Adrianna Chlebicka', 'Mateusz Banasiuk', 'Mirosław Baka', 'Helena Mazur', 'Mikołaj Roznerski', 'Krzysztof Czeczot', 'Monika Krzywkowska', 'Jacek Knap', 'Tomasz Karolak', 'Ewa Kolasińska']",,['2/25/23'],1074656.0,2023-02-13
The Pale Blue Eye,film,1,"['Mystery', 'Thriller']",101.521,"['Christian Bale', 'Harry Melling', 'Lucy Boynton', 'Toby Jones', 'Simon McBurney', 'Timothy Spall', 'Robert Duvall', 'Harry Lawtey', 'Gillian Anderson', 'Charlotte Gainsbourg']",,['1/12/23'],800815.0,2022-12-22
Indecent Proposal,film,1,"['Romance', 'Drama']",21.56,"['Robert Redford', 'Demi Moore', 'Woody Harrelson', 'Seymour Cassel', 'Oliver Platt', 'Billy Bob Thornton', 'Billy Connolly', 'Rip Taylor', 'Pierre Epstein', 'Joel Brooks']",,['1/6/23'],4478.0,1993-04-07
Out of Sight,film,1,"['Romance', 'Comedy', 'Crime']",11.661,"['George Clooney', 'Jennifer Lopez', 'Ving Rhames', 'Don Cheadle', 'Steve Zahn', 'Dennis Farina', 'Catherine Keener', 'Isaiah Washington', 'Albert Brooks', 'Luis Guzmán']",,['1/1/23'],1389.0,1998-06-26
Airplane!,film,1,['Comedy'],28.332,"['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar', 'Lloyd Bridges', 'Peter Graves', 'Lorna Patterson', 'Robert Stack', 'Jim Abrahams', 'Jonathan Banks']",,['12/19/22'],813.0,1980-07-02
Inglourious Basterds,film,1,"['Drama', 'Thriller', 'War']",49.227,"['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz', 'Eli Roth', 'Michael Fassbender', 'Diane Kruger', 'Daniel Brühl', 'Til Schweiger', 'Gedeon Burkhard', 'Jacky Ido']",,['12/11/22'],16869.0,2009-08-19
Hustle,film,1,"['Drama', 'Comedy']",51.088,"['Adam Sandler', 'Queen Latifah', 'Juancho Hernangómez', 'Ben Foster', 'Kenny Smith', 'Anthony Edwards', 'Robert Duvall', 'Jordan Hull', 'María Botto', 'Ainhoa Pillet']",,['11/19/22'],705861.0,2022-06-03
Blonde,film,1,['Drama'],33.645,"['Ana de Armas', 'Adrien Brody', 'Bobby Cannavale', 'Sara Paxton', 'Lucy DeVito', 'Julianne Nicholson', 'Scoot McNairy', 'Xavier Samuel', 'Caspar Phillipson', 'Evan Williams']",,['9/30/22'],301502.0,2022-09-16
ATHENA,film,1,['Drama'],111.431,"['Dali Benssalah', 'Anthony Bajon', 'Alexis Manenti', 'Ouassini Embarek', 'Sami Slimane', 'Radostina Rogliano', 'Karim Lasmi', 'Mehdi Abdelhakmi', 'Tarek Haddaji', 'Guy Donald Koukissa']",,['9/25/22'],852046.0,2022-09-09
"I, Superbiker",film,1,['Documentary'],1.1,"['Tommy Bridewell', 'Shane Byrne', 'Tony Carter', 'James Ellison', 'Alex Lowes']",,['9/7/22'],290632.0,2014-04-10
Hitting the Apex,film,1,['Documentary'],9.564,"['Brad Pitt', 'Valentino Rossi', 'Dani Pedrosa', 'Casey Stoner', 'Jorge Lorenzo', 'Marco Simoncelli', 'Marc Márquez']",,['9/7/22'],357681.0,2015-09-02
Eyes Wide Shut,film,1,"['Drama', 'Thriller', 'Mystery']",34.271,"['Tom Cruise', 'Nicole Kidman', 'Sydney Pollack', 'Marie Richardson', 'Rade Šerbedžija', 'Todd Field', 'Vinessa Shaw', 'Alan Cumming', 'Sky du Mont', 'Fay Masterson']",,['9/4/22'],345.0,1999-07-16
Heart Parade,film,1,"['Comedy', 'Romance']",7.809,"['Anna Próchniak', 'Michał Czernecki', 'Iwo Rajski', 'Piotr Rogucki', 'Monika Krzywkowska', 'Katarzyna Zielińska', 'Grzegorz Warchoł', 'Kamil Szeptycki', 'Leszek Piskorz', 'Ina Sobala']",,['8/28/22'],982939.0,2022-06-15
The Mummy,film,1,"['Adventure', 'Action', 'Fantasy']",60.589,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo', 'Patricia Velásquez', ""Kevin J. O'Connor"", 'Jonathan Hyde', 'Oded Fehr', 'Erick Avari', 'Stephen Dunham']",,['8/25/22'],564.0,1999-04-16
