title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Shooter,series,17,"['Action & Adventure', 'War & Politics', 'Drama']",83.17,"['Ryan Phillippe', 'Shantel VanSanten', 'Cynthia Addai-Robinson', 'Omar Epps', 'Lexy Kolker', 'Jesse Bradford']",,"['4/5/23', '4/4/23', '4/4/23', '4/4/23', '4/4/23', '4/3/23', '3/30/23', '3/30/23', '3/30/23', '3/29/23', '3/29/23', '3/29/23', '3/28/23', '3/28/23', '3/28/23', '3/27/23', '3/27/23']",66857.0,2016-11-15
Shooter,film,1,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",45.227,"['Mark Wahlberg', 'Michael Peña', 'Danny Glover', 'Kate Mara', 'Elias Koteas', 'Rhona Mitra', 'Jonathan Walker', 'Louis Ferreira', 'Tate Donovan', 'Rade Šerbedžija']",,['3/26/23'],7485.0,2007-03-22
365 Days,film,1,"['Romance', 'Drama']",168.398,"['Anna-Maria Sieklucka', 'Michele Morrone', 'Simone Susinna', 'Magdalena Lamparska', 'Otar Saralidze', 'Ewa Kasprzyk', 'Dariusz Jakubowski', 'Ramón Langa', 'Tomasz Mandes', 'Natalia Siwiec']",,['2/12/23'],829560.0,2022-08-19
Good Will Hunting,film,1,['Drama'],90.125,"['Matt Damon', 'Robin Williams', 'Ben Affleck', 'Stellan Skarsgård', 'Minnie Driver', 'Casey Affleck', 'Cole Hauser', 'Vik Sahay', 'John Mighton', 'Rachel Majorowski']",,['12/14/22'],489.0,1997-12-05
Death Note,film,1,"['TV Movie', 'Crime', 'Drama', 'Fantasy', 'Thriller', 'Animation']",28.679,"['Keiji Fujiwara', 'Aya Hirano', 'Hideo Ishikawa', 'Takuya Kirimoto', 'Hidenobu Kiuchi', 'Kiyoshi Kobayashi', 'Naoko Matsui', 'Mamoru Miyano', 'Miki Nagasawa', 'Ryou Naitou']",,['10/29/22'],51482.0,2007-08-31
The Redeem Team,film,1,['Documentary'],35.501,"['Kobe Bryant', 'LeBron James', 'Carmelo Anthony', 'Dwyane Wade', 'Mike Krzyzewski', 'Chris Bosh', 'Carlos Boozer', 'Chris Paul', 'Dwight Howard', 'Doug Collins']",,['10/21/22'],1018648.0,2022-10-07
Twilight,film,1,"['Fantasy', 'Drama', 'Romance']",99.232,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Cam Gigandet', 'Ashley Greene', 'Anna Kendrick', 'Nikki Reed', 'Taylor Lautner']",,['8/18/22'],8966.0,2008-11-20
The Tinder Swindler,film,1,"['Documentary', 'Crime']",17.13,"['Shimon Yehuda Hayut', 'Cecilie Fjellhøy', 'Pernilla Sjöholm', 'Ayleen Charlotte', 'Kristoffer Kumar', 'Erlend Ofte Arntsen', 'Natalie Remøe Hansen']",,['8/18/22'],923632.0,2022-02-02
Jackass 4.5,film,1,"['Comedy', 'Action', 'Documentary']",20.25,"['Johnny Knoxville', 'Steve-O', 'Chris Pontius', 'Dave England', 'Ehren McGhehey', 'Jason Acuña', 'Preston Lacy', 'Zach Holmes', 'Sean «Poopies» McInerney', 'Jasper Dolphin']",,['8/18/22'],828853.0,2022-05-20
Inside the Mind of a Cat,film,1,['Documentary'],28.274,"['Yuki Hattori', 'Maryna Savitska', 'Svitlana Savytska', 'Wailani Sung', 'Kristin Vitale']",,['8/18/22'],1003180.0,2022-08-18
Scary Movie,film,1,['Comedy'],81.95,"['Anna Faris', 'Jon Abrahams', 'Marlon Wayans', 'Shawn Wayans', 'Regina Hall', 'Shannon Elizabeth', 'Cheri Oteri', 'Carmen Electra', 'Tanja Reichert', 'Lochlyn Munro']",,['8/18/22'],4247.0,2000-07-07
Barbie and the Magic of Pegasus,film,1,"['Animation', 'Family', 'Romance']",32.151,"['Kelly Sheridan', 'Kathleen Barr', 'Lalainia Lindbjerg', 'Colin Murdock', 'Mark Hildreth', 'Brian Drummond', 'Russell Roberts', 'John DeSantis', 'Chantal Strand', 'Andrea Libman']",,['8/16/22'],15906.0,2005-10-04
The Conjuring,film,1,"['Horror', 'Thriller']",99.456,"['Patrick Wilson', 'Vera Farmiga', 'Lili Taylor', 'Ron Livingston', 'Mackenzie Foy', 'Joey King', 'Shannon Kook', 'John Brotherton', 'Hayley McFarland', 'Shanley Caswell']",,['8/15/22'],138843.0,2013-07-18
Hustle,film,1,"['Drama', 'Comedy']",60.216,"['Adam Sandler', 'Queen Latifah', 'Juancho Hernangómez', 'Ben Foster', 'Kenny Smith', 'Anthony Edwards', 'Robert Duvall', 'Jordan Hull', 'María Botto', 'Ainhoa Pillet']",,['6/28/22'],705861.0,2022-06-03
Interceptor,film,1,"['Action', 'Thriller', 'Adventure']",39.213,"['Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Belinda Jombwe', 'Mayen Mehta', 'Paul Caesar', 'Marcus Johnson', 'Rhys Muldoon', 'Colin Friels', 'Zoe Carides']",,['6/7/22'],831946.0,2022-05-26
Gierek,film,1,['Drama'],2.975,"['Michał Koterski', 'Małgorzata Kożuchowska', 'Antoni Pawlicki', 'Sebastian Stankiewicz', 'Rafał Zawierucha', 'Agnieszka Więdłocha', 'Ewa Ziętek', 'Jan Frycz', 'Krzysztof Tyniec', 'Mikołaj Roznerski']",,['5/22/22'],879837.0,2022-01-28
