,Date,Artist,Title,Time
0,2023-04-12 16:37,Jubël,4AM (feat. HOLT.),194195
1,2023-04-12 16:33,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
2,2023-04-12 16:30,Ola Olszewska,Czy To Nadal Ja,7287
3,2023-04-12 16:29,SAPPHIRE,Unity (Acoustic),180521
4,2023-04-12 16:27,sanah,najlepszy dzień w moim życiu,251500
5,2023-04-12 16:23,Robin Hustin,Light It Up,185390
6,2023-04-12 16:20,He Is We,I Wouldn't Mind,200059
7,2023-04-12 16:16,Kygo,Stargazing,236853
8,2023-04-12 16:12,Jacob Lee,Silhouette,301802
9,2023-04-12 16:08,Jubël,4AM (feat. HOLT.),194195
10,2023-04-12 16:04,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
11,2023-04-12 16:01,Sasha Alex Sloan,Older,58782
12,2023-04-12 16:00,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687
13,2023-04-12 15:56,Duncan Laurence,Arcade (feat. FLETCHER),187453
14,2023-04-12 15:53,Sasha Alex Sloan,Dancing With Your Ghost,197732
15,2023-04-12 15:49,Ruth B.,Dandelions - slowed + reverb,140491
16,2023-04-12 15:47,Alex & Sierra,Little Do You Know,185200
17,2023-04-12 15:44,The Walkers,Unity,204533
18,2023-04-12 15:41,Bryan,Travis,118378
19,2023-04-12 15:39,Veason,Skarbie,187384
20,2023-04-12 15:36,Doli,spadająca gwiazda,143227
21,2023-04-12 15:33,Aymi,W mojej bluzie,139019
22,2023-04-12 15:31,obi,Presja,168601
23,2023-04-12 15:29,Bryan,Na zawsze,186812
24,2023-04-12 15:26,Bryan,Ile dałbym,127389
25,2023-04-12 15:23,Ola Olszewska,Czy To Nadal Ja,826
26,2023-04-12 15:23,Kodaline,Brother,54659
27,2023-04-12 15:23,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
28,2023-04-12 15:19,Kordhell,Murder In My Mind,4215
29,2023-04-12 15:19,SHADXWBXRN,NECRONOMICON,109090
30,2023-04-12 15:17,GRAVECHILL,Twilight,116129
31,2023-04-12 15:15,staplegun,|BONKERS|,212335
32,2023-04-12 15:12,DJ LA BEAT,MTG - REBOLA NO MEU C4RALHO,44654
33,2023-04-12 15:11,Maikubi,Take Me Home,132396
34,2023-04-12 15:09,HXI,HELLDRIFT 2,171028
35,2023-04-12 15:06,g3ox_em,GigaChad Theme - Phonk House Version,146274
36,2023-04-12 15:04,Heuse,Pill,12092
37,2023-04-12 15:04,DJ Fluke,Seven Nation Army,7849
38,2023-04-12 15:03,Rezz,Suffer In Silence,936
39,2023-04-12 15:03,DVRST,Endless Love,99191
40,2023-04-12 15:03,AREA21,Followers,2878
41,2023-04-12 15:03,Diamond Eyes,Everything,8313
42,2023-04-12 15:03,Rival,Willow Tree,3622
43,2023-04-12 15:01,Cartoon,Why We Lose,166432
44,2023-04-12 14:59,Swedish House Mafia,Heaven Takes You Home (feat. Connie Constance),206808
45,2023-04-12 14:55,Blasterjaxx,Hurricane (feat. SHIBUI),147581
46,2023-04-12 14:53,Dimitri Vegas & Like Mike,Rampage (Free Fire Rampage Theme Song),92263
47,2023-04-12 14:51,Bri Tolani,Why Do I?,200422
48,2023-04-12 14:48,Alan Walker,Ignite,204139
49,2023-04-12 14:44,Scooter,Weekend!,0
50,2023-04-12 14:44,Klubbingman,Love Message - Klubbstylerz Tech Cut,1294
51,2023-04-12 14:44,Shouse,Love Tonight (David Guetta Remix Edit),0
52,2023-04-12 14:44,Linkin Park,Numb,113224
53,2023-04-12 14:44,Raveboy,Dancing Through the Night - Single Edit,2123
54,2023-04-12 14:44,Cascada,Everytime We Touch,971
55,2023-04-12 14:44,ItaloBrothers,Moonlight Shadow,3177
56,2023-04-12 14:44,David Guetta,Titanium (feat. Sia),0
57,2023-04-12 14:44,Cascada,Bad Boy,0
58,2023-04-12 14:44,DJ Sequenza,Tricky Tricky - Jens O. Remix Radio Edit,10459
59,2023-04-12 14:42,Lasgo,Lying - Radio Edit,183893
60,2023-04-12 14:39,Alex C.,Sweetest Ass in the World - Radio Version English,214951
61,2023-04-12 14:36,Pakito,Living on Video - Radio Edit,26561
62,2023-04-12 14:36,Candee Jay,If I Were You,8247
63,2023-04-12 14:35,Caramella Girls,Spelar Ingen Roll,181360
64,2023-04-12 14:31,Gustavo Bravetti,Babel - Keanu Silva Remix,2128
65,2023-04-12 14:31,Pakito,Moving on Stereo - Radio Edit,3607
66,2023-04-12 14:31,untrusted,"eyes blue or brown, can't remember",70349
67,2023-04-12 14:31,Baracuda,Where Is The Love - Radio Version,7639
68,2023-04-12 14:31,Klubbingman,Revolution - Original Radio Mix,1269
69,2023-04-12 14:31,Alice Deejay,Will I Ever,1934
70,2023-04-12 14:29,Basshunter,I Know U Know,163665
71,2023-04-12 14:27,Eminem,Mockingbird,2157
72,2023-04-12 14:27,DJ Antoine,Underneath - Radio Mix,160803
73,2023-04-12 14:24,Darius & Finlay,Do It All Night,207804
74,2023-04-12 14:21,Dave McCullen,Rave Heaven - German Radio Edit,185973
75,2023-04-12 14:18,Eminem,Till I Collapse,297786
76,2023-04-12 14:13,Pakito,Electro Music (Radio Edit),182533
77,2023-04-12 13:58,Ultrabeat,Use Somebody,166997
78,2023-04-12 13:55,Basshunter,Now You're Gone (feat. DJ Mental Theo's Bazzheadz) - Video Edit,148186
79,2023-04-12 13:53,O-Zone,Dragostea Din Tei (W&W Remix),174435
80,2023-04-12 13:50,Baracuda,I Will Love Again - Radio Version,205569
81,2023-04-12 13:47,Styles & Breeze,You're My Angel,314653
82,2023-04-12 13:41,Bad Meets Evil,Take From Me,0
83,2023-04-12 13:41,Eminem,No Apologies,0
84,2023-04-12 10:12,Eminem,Mockingbird,176564
85,2023-04-12 09:35,Zbigniew Wodecki,Lubię wracać tam gdzie byłem,58079
86,2023-04-12 09:34,Raveboy,Dancing Through the Night - Single Edit,207000
87,2023-04-12 09:31,Eminem,Superman,350320
88,2023-04-12 09:25,Alice Deejay,Will I Ever,194072
89,2023-04-12 09:22,Kate Ryan,Ella Elle L A,184693
90,2023-04-12 09:19,Yiruma,River Flows In You,188786
91,2023-04-12 09:16,Styles & Breeze,You're My Angel,314653
92,2023-04-12 09:11,Jubël,4AM (feat. HOLT.),123963
93,2023-04-12 09:11,SLANDER,Love Is Gone - Tiësto Remix,7703
94,2023-04-12 09:11,R3HAB,Sad Boy (feat. Ava Max & Kylie Cantrall),1185
95,2023-04-12 09:11,Egzod,Royalty,1926
96,2023-04-12 09:11,DJ Antoine,Dark Love,1337
97,2023-04-12 09:09,DJ Antoine,You're Ma Cherie - DJ Antoine vs. Mad Mark 2k13 Radio Edit,191552
98,2023-04-12 09:06,Anthony Keyrouz,Wake Me Up In Paris,136946
99,2023-04-12 09:04,Porter Robinson,Everything Goes On,202821
100,2023-04-12 09:00,Edward Maya,Stereo Love - Edit,132724
101,2023-04-12 09:00,Mohombi,Bumpy Ride,10019
102,2023-04-12 08:58,DJ Antoine,Underneath - Radio Mix,223762
103,2023-04-12 08:54,sanah,Invisible dress - Maro Music x Skytech Remix / Short Edit,147000
104,2023-04-12 08:52,DJ Antoine,Sunset in Dubai - DJ Antoine & Mad Mark 2k22 Mix,150773
105,2023-04-12 08:50,Example,Changed the Way You Kiss Me - Radio Edit,181918
106,2023-04-12 08:47,Warriyo,Mortals,228340
107,2023-04-12 08:43,Gabry Ponte,Thunder,160000
108,2023-04-12 08:40,DJ Antoine,Hardcore Life,161461
109,2023-04-12 08:38,Vicetone,Nevada,208561
110,2023-04-12 08:34,Basshunter,Now You're Gone (feat. DJ Mental Theos Bazzheadz) - Radio Edit,206226
111,2023-04-12 08:31,VALORANT,Die For You,212926
112,2023-04-12 08:28,Avicii,Waiting For Love,230613
113,2023-04-12 08:24,Axel Johansson,Miracles (feat. Tina Stachowiak),191500
