Nr,Title,Artists
1,Nobody Said It Was Easy - Sefa Remix,"Evil Activities, Sefa"
2,All The Things She Said,t.A.T.u.
3,Swim,varsain
4,River Flows In You,Yiruma
5,You're My Angel - Hypnose Remix Edit,"Styles & Breeze, Hypnose"
6,Mockingbird,Eminem
7,Moonlight Shadow,ItaloBrothers
8,Fireflies,Owl City
9,Solo,BLANKA
10,My Sister's Crown,Vesna
11,You're My Angel - Hypnose Remix Edit,"Styles & Breeze, Hypnose"
12,Someone,Jubël
13,Nobody Said It Was Easy [Mix Cut] - Original Mix,Evil Activities
14,Legend,Tevvez
15,All The Things She Said,t.A.T.u.
16,Moving on Stereo - Radio Edit,Pakito
17,All I Ever Wanted - Radio Edit,Basshunter
18,Spelar Ingen Roll,Caramella Girls
19,You're My Angel - Hypnose Remix Edit,"Styles & Breeze, Hypnose"
20,Pursuit Of Happiness - Extended Steve Aoki Remix,"Kid Cudi, MGMT, Ratatat, Steve Aoki"
21,The One That Got Away,urtzer
22,Lubię wracać tam gdzie byłem,Zbigniew Wodecki
23,God Is a Girl,Groove Coverage
24,Everytime We Touch - Sound Rush Remix,"Cascada, Sound Rush"
25,If I Were You,Candee Jay
26,All The Things She Said,t.A.T.u.
27,Moving on Stereo - Radio Edit,Pakito
28,All I Ever Wanted - Radio Edit,Basshunter
29,Spelar Ingen Roll,Caramella Girls
30,You're My Angel - Hypnose Remix Edit,"Styles & Breeze, Hypnose"
31,Heart of Steel - Eurovision Version,TVORCHI
32,Queen of Kings,Alessandra
33,Unicorn,Noa Kirel
34,Because Of You,Gustaph
35,Heart of Steel - Eurovision Version,TVORCHI
36,Queen of Kings,Alessandra
37,Queen of Kings,Alessandra
38,Unicorn,Noa Kirel
39,Cha Cha Cha,Käärijä
40,Promise,Voyager
41,Bridges,ALIKA
42,Because Of You,Gustaph
43,Heart of Steel - Eurovision Version,TVORCHI
44,Queen of Kings,Alessandra
45,Due Vite,Marco Mengoni
46,Unicorn,Noa Kirel
47,Cha Cha Cha,Käärijä
48,Tattoo,Loreen
49,Bridges,ALIKA
50,Heart of Steel - Eurovision Version,TVORCHI
