Nr,Title,Artists
1,Day & Night,Basshunter
2,THE ONE THAT GOT AWAY HARDSTYLE SPED UP,SICK LEGEND
3,najlepszy dzień w moim życiu,sanah
4,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN
5,Ile dałbym,Bryan
6,Hymn (J. Słowacki),sanah
7,I Wouldn't Mind,He Is We
8,You're My Angel - Hypnose Remix Edit,Styles & Breeze
9,Takeaway (feat. Lennon Stella) - Pilton Remix,The Chainsmokers
10,snowfall,Øneheart
11,spadająca gwiazda,Doli
12,Unity,The Walkers
13,Na zawsze,Bryan
14,Little Do You Know,Alex & Sierra
15,Light It Up,Robin Hustin
16,Skarbie,Veason
17,I Can Walk On Water,Basshunter
18,sweater weather - slowed + reverb,omgkirby
19,Travis,Bryan
20,Dancing With Your Ghost,Sasha Alex Sloan
21,Infinity,Jaymes Young
22,Czy To Nadal Ja,Ola Olszewska
23,W mojej bluzie,Aymi
24,Presja,obi
25,Lucid Dreams,Juice WRLD
26,Older,Sasha Alex Sloan
27,Pożal się Boże,sanah
28,"Living Life, In The Night",Cheriimoya
29,"Mali ludzie, wielkie nieba",Białas
30,Arcade (feat. FLETCHER),Duncan Laurence
31,4AM (feat. HOLT.),Jubël
32,Love Life - French Version,John Mamann
33,Dandelions - slowed + reverb,Ruth B.
34,Wilcza zamieć (Wiedźmin 3: Dziki Gon),sanah
35,If the World Was Ending (feat. Julia Michaels),JP Saxe
36,Nobody Said It Was Easy [Mix Cut] - Original Mix,Evil Activities
37,Fireflies,Owl City
38,River Flows In You,Yiruma
39,Zbrodnia i kara,Gibbs
40,Stargazing,Kygo
41,Silhouette,Jacob Lee
42,All I Ever Wanted - Radio Edit,Basshunter
43,Forever Young,UNDRESSD
44,Znajdę Cię,Qry
45,Unity (Acoustic),SAPPHIRE
46,I'm Good (Blue),David Guetta
47,Zbrodnia i kara,Kacper HTA
48,Disappearing Now,NURKO
49,Someone,Jubël
50,Frozen River (feat. Jessica Chertock),Hard Lights
