title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Shooter,film,1,,,,,['3/26/23'],,
365 Days,film,1,,,,,['2/12/23'],,
Good Will Hunting,film,1,,,,,['12/14/22'],,
Death Note,film,1,,,,,['10/29/22'],,
The Redeem Team,film,1,,,,,['10/21/22'],,
Twilight,film,1,,,,,['8/18/22'],,
The Tinder Swindler,film,1,,,,,['8/18/22'],,
Jackass 4.5,film,1,,,,,['8/18/22'],,
Inside the Mind of a Cat,film,1,,,,,['8/18/22'],,
Scary Movie,film,1,,,,,['8/18/22'],,
Barbie and the Magic of Pegasus,film,1,,,,,['8/16/22'],,
The Conjuring,film,1,,,,,['8/15/22'],,
Hustle,film,1,,,,,['6/28/22'],,
Interceptor,film,1,,,,,['6/7/22'],,
Gierek,film,1,,,,,['5/22/22'],,
Along for the Ride,film,1,,,,,['5/8/22'],,
Furioza,film,1,,,,,['4/6/22'],,
How I Fell in Love with a Gangster,film,1,,,,,['2/21/22'],,
Don't Look Up,film,1,,,,,['1/8/22'],,
The Unforgivable,film,1,,,,,['12/19/21'],,
Red Notice,film,1,,,,,['11/27/21'],,
Operation Hyacinth,film,1,,,,,['10/15/21'],,
The Life Ahead,film,1,,,,,['8/23/21'],,
Richard Jewell,film,1,,,,,['8/1/21'],,
The Matrix,film,1,,,,,['7/10/21'],,
Eli,film,1,,,,,['7/10/21'],,
Fanatyk,film,1,,,,,['4/18/21'],,
Prime Time,film,1,,,,,['4/15/21'],,
The Trial of the Chicago 7,film,1,,,,,['4/5/21'],,
The Loop,film,1,,,,,['3/1/21'],,
News of the World,film,1,,,,,['2/14/21'],,
All My Friends Are Dead,film,1,,,,,['1/8/21'],,
Jackass 3,film,1,,,,,['12/21/20'],,
Coach Carter,film,1,,,,,['12/15/20'],,
Kult – Legendary Rock,film,1,,,,,['11/6/20'],,
Safe House,film,1,,,,,['9/7/20'],,
Zenek,film,1,,,,,['8/25/20'],,
Venom,film,1,,,,,['7/9/20'],,
The Fighter,film,1,,,,,['6/21/20'],,
Extraction,film,1,,,,,['5/2/20'],,
Bad Boy,film,1,,,,,['4/19/20'],,
Circle,film,1,,,,,['3/29/20'],,
The Platform,film,1,,,,,['3/29/20'],,
Nobody Sleeps in the Woods Tonight,film,1,,,,,['3/22/20'],,
Ultras,film,1,,,,,['3/22/20'],,
World War Z,film,1,,,,,['3/21/20'],,
6 Underground,film,1,,,,,['3/21/20'],,
Spenser Confidential,film,1,,,,,['3/16/20'],,
The Purge,film,1,,,,,['8/29/19'],,
Shooter,series,17,,,,,"['4/5/23', '4/4/23', '4/4/23', '4/4/23', '4/4/23', '4/3/23', '3/30/23', '3/30/23', '3/30/23', '3/29/23', '3/29/23', '3/29/23', '3/28/23', '3/28/23', '3/28/23', '3/27/23', '3/27/23']",,
The Good Place,series,50,,,,,"['4/3/23', '4/3/23', '4/2/23', '4/2/23', '2/26/23', '2/26/23', '2/26/23', '2/22/23', '2/22/23', '2/21/23', '2/21/23', '2/21/23', '2/20/23', '2/20/23', '2/20/23', '2/20/23', '2/19/23', '2/18/23', '2/18/23', '2/18/23', '2/18/23', '2/17/23', '2/17/23', '1/6/23', '1/6/23', '1/2/23', '1/1/23', '1/1/23', '1/1/23', '1/1/23', '1/1/23', '1/1/23', '7/30/22', '7/25/22', '7/25/22', '7/23/22', '7/23/22', '7/23/22', '7/19/22', '3/8/22', '3/8/22', '3/8/22', '3/8/22', '3/8/22', '3/7/22', '3/7/22', '3/7/22', '2/19/22', '2/18/22', '2/13/22']",,
The Umbrella Academy,series,2,,,,,"['3/26/23', '3/26/23']",,
The Disastrous Life of Saiki K.,series,3,,,,,"['3/24/23', '8/8/22', '7/14/22']",,
Formula 1,series,34,,,,,"['3/6/23', '3/1/23', '3/1/23', '2/26/23', '2/26/23', '2/24/23', '2/24/23', '3/21/22', '3/16/22', '3/16/22', '3/14/22', '3/14/22', '3/13/22', '3/13/22', '3/11/22', '3/11/22', '3/11/22', '12/12/21', '9/22/21', '9/22/21', '9/13/21', '9/13/21', '3/27/21', '3/26/21', '3/25/21', '3/24/21', '3/23/21', '3/22/21', '3/22/21', '3/22/21', '3/21/21', '3/21/21', '3/20/21', '3/20/21']",,
MINDHUNTER,series,2,,,,,"['3/1/23', '2/8/23']",,
Too Hot to Handle,series,2,,,,,"['3/1/23', '12/30/22']",,
Big Mouth,series,47,,,,,"['2/22/23', '2/21/23', '2/21/23', '2/21/23', '2/21/23', '2/10/23', '2/10/23', '2/10/23', '2/10/23', '2/8/23', '2/8/23', '2/7/23', '2/6/23', '2/5/23', '2/5/23', '2/4/23', '2/2/23', '2/2/23', '2/2/23', '2/2/23', '1/28/23', '1/27/23', '1/15/23', '1/12/23', '1/11/23', '1/10/23', '1/10/23', '1/9/23', '1/9/23', '1/8/23', '1/7/23', '1/6/23', '1/6/23', '1/5/23', '1/5/23', '1/5/23', '1/3/23', '1/3/23', '1/3/23', '1/3/23', '1/3/23', '1/1/23', '12/31/22', '12/31/22', '12/31/22', '12/30/22', '12/30/22']",,
One of Us Is Lying,series,3,,,,,"['2/11/23', '2/10/23', '2/10/23']",,
Kuroko's Basketball,series,79,,,,,"['1/1/23', '12/17/22', '12/8/22', '12/7/22', '12/7/22', '12/7/22', '12/6/22', '12/2/22', '12/2/22', '11/30/22', '11/30/22', '11/30/22', '11/29/22', '11/28/22', '11/28/22', '11/28/22', '11/28/22', '11/27/22', '11/27/22', '11/27/22', '11/27/22', '11/24/22', '11/23/22', '11/23/22', '11/23/22', '11/22/22', '11/22/22', '11/17/22', '11/15/22', '11/14/22', '11/14/22', '11/14/22', '11/14/22', '11/14/22', '11/12/22', '11/12/22', '11/11/22', '11/9/22', '11/9/22', '11/8/22', '11/8/22', '11/8/22', '11/8/22', '11/8/22', '11/7/22', '11/7/22', '11/7/22', '11/7/22', '11/6/22', '11/6/22', '11/6/22', '11/6/22', '11/6/22', '11/5/22', '11/5/22', '11/4/22', '11/4/22', '11/4/22', '11/4/22', '11/4/22', '11/4/22', '11/3/22', '11/2/22', '11/2/22', '11/2/22', '11/2/22', '11/2/22', '11/2/22', '11/2/22', '11/2/22', '11/2/22', '11/2/22', '11/1/22', '11/1/22', '11/1/22', '11/1/22', '11/1/22', '10/31/22', '10/31/22']",,
Trailer Park Boys,series,71,,,,,"['12/30/22', '7/27/22', '7/27/22', '10/28/21', '10/28/21', '5/24/21', '3/18/21', '2/6/21', '1/3/21', '1/2/21', '12/23/20', '12/23/20', '12/23/20', '12/23/20', '12/23/20', '11/2/20', '11/2/20', '10/21/20', '10/20/20', '10/20/20', '10/18/20', '10/16/20', '10/16/20', '10/16/20', '10/14/20', '10/13/20', '10/13/20', '10/13/20', '10/13/20', '10/10/20', '10/7/20', '10/7/20', '10/6/20', '10/6/20', '10/5/20', '10/5/20', '10/5/20', '10/4/20', '10/4/20', '10/3/20', '9/27/20', '9/27/20', '9/26/20', '9/26/20', '9/26/20', '9/25/20', '9/23/20', '9/21/20', '9/21/20', '9/20/20', '9/19/20', '9/13/20', '9/8/20', '9/8/20', '9/8/20', '9/7/20', '9/4/20', '9/3/20', '9/2/20', '9/2/20', '9/2/20', '9/1/20', '9/1/20', '8/31/20', '8/30/20', '8/30/20', '8/29/20', '8/28/20', '8/28/20', '8/28/20', '8/27/20']",,
Inside Job,series,15,,,,,"['12/30/22', '12/16/22', '12/15/22', '12/15/22', '12/14/22', '12/14/22', '12/13/22', '11/22/22', '9/21/22', '3/4/22', '3/4/22', '3/3/22', '3/3/22', '3/3/22', '2/24/22']",,
