title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
In Time,film,,"['Action', 'Thriller', 'Science Fiction']",,"['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy', 'Olivia Wilde', 'Alex Pettyfer', 'Johnny Galecki', 'Matt Bomer', 'Vincent Kartheiser', 'Yaya DaCosta', 'Toby Hemingway']",,,49530.0,2011-10-27
Jumper,film,,"['Action', 'Adventure', 'Science Fiction']",,"['Hayden Christensen', 'Jamie Bell', 'Samuel L. Jackson', 'Rachel Bilson', 'Michael Rooker', 'Diane Lane', 'AnnaSophia Robb', 'Max Thieriot', 'Jesse James', 'Tom Hulce']",,,8247.0,2008-02-13
Knight and Day,film,,"['Action', 'Comedy']",,"['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Viola Davis', 'Jordi Mollà', 'Paul Dano', 'Maggie Grace', 'Marc Blucas', 'Celia Weston', 'Falk Hentschel']",,,37834.0,2010-06-15
Monte Carlo,film,,"['Adventure', 'Comedy', 'Romance']",,"['Selena Gomez', 'Katie Cassidy', 'Leighton Meester', 'Cory Monteith', 'Andie MacDowell', 'Brett Cullen', 'Amanda Fairbank-Hynes', 'Joe Camp III', 'Luke Bracey', 'Valérie Lemercier']",,,59860.0,2011-07-01
Anna Karenina,film,,"['Drama', 'Romance']",,"['Keira Knightley', 'Jude Law', 'Aaron Taylor-Johnson', 'Matthew Macfadyen', 'Eric MacLennan', 'Kelly Macdonald', 'Alicia Vikander', 'Domhnall Gleeson', 'Olivia Williams', 'Ruth Wilson']",,,96724.0,2012-09-06
"Crazy, Stupid, Love",film,,"['Comedy', 'Drama', 'Romance']",,"['Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Lio Tipton', 'Jonah Bobo', 'Joey King', 'Marisa Tomei', 'Beth Littleford', 'John Carroll Lynch']",,,50646.0,2011-07-29
The Kissing Booth 3,film,,"['Romance', 'Comedy']",,"['Joey King', 'Joel Courtney', 'Jacob Elordi', 'Molly Ringwald', 'Taylor Zakhar Perez', 'Meganne Young', 'Maisie Richardson-Sellers', 'Stephen Jennings', 'Carson White', 'Morné Visser']",,,727745.0,2021-08-11
The Kissing Booth,film,,"['Romance', 'Comedy']",,"['Joey King', 'Joel Courtney', 'Jacob Elordi', 'Molly Ringwald', 'Stephen Jennings', 'Carson White', 'Meganne Young', 'Frances Sholto-Douglas', 'Nathan Lynn', 'Byron Langley']",,,454983.0,2018-05-11
Passengers,film,,"['Drama', 'Romance', 'Science Fiction']",,"['Jennifer Lawrence', 'Chris Pratt', 'Michael Sheen', 'Laurence Fishburne', 'Andy García', 'Vince Foster', 'Kara Michele Wilder', 'Conor Brophy', 'Julee Cerda', 'Aurora Perrineau']",,,274870.0,2016-12-21
Jupiter Ascending,film,,"['Science Fiction', 'Fantasy', 'Action']",,"['Channing Tatum', 'Mila Kunis', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth', 'Edward Hogg', 'Maria Doyle Kennedy', 'Tuppence Middleton', 'Nikki Amuka-Bird', 'Vanessa Kirby']",,,76757.0,2015-02-04
Charlie's Angels,film,,"['Action', 'Adventure', 'Comedy']",,"['Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks', 'Patrick Stewart', 'Djimon Hounsou', 'Sam Claflin', 'Noah Centineo', 'Nat Faxon', 'Chris Pang']",,,458897.0,2019-11-14
Lucy,film,,"['Action', 'Science Fiction']",,"['Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik', 'Amr Waked', 'Julian Rhind-Tutt', 'Pilou Asbæk', 'Lio Tipton', 'Shin Yoo-ram', 'Seo Chong-ju', 'Nicolas Phongpheth']",,,240832.0,2014-07-25
Extraction,film,,"['Drama', 'Action', 'Thriller']",,"['Chris Hemsworth', 'Rudhraksh Jaiswal', 'Randeep Hooda', 'Golshifteh Farahani', 'Pankaj Tripathi', 'David Harbour', 'Bryon Lerum', 'Ryder Lerum', 'Shivam Vichare', 'Piyush Khati']",,,545609.0,2020-04-24
American Sniper,film,,"['War', 'Action']",,"['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner', 'Cole Konis', 'Ben Reed', 'Elise Robertson', ""Keir O'Donnell"", 'Luke Sunshine', 'Kevin Lacz', 'Troy Vincent']",,,190859.0,2014-12-25
Endless Love,film,,"['Romance', 'Drama']",,"['Brooke Shields', 'Martin Hewitt', 'Shirley Knight', 'Don Murray', 'Richard Kiley', 'Beatrice Straight', 'James Spader', 'Ian Ziering', 'Robert Moore', 'Penelope Milford']",,,19114.0,1981-07-17
The Irishman,film,,"['Crime', 'Drama', 'History']",,"['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Stephen Graham', 'Ray Romano', 'Harvey Keitel', 'Bobby Cannavale', 'Anna Paquin', 'Stephanie Kurtzuba', 'Kathrine Narducci']",,,398978.0,2019-11-01
